date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:53	40131/40131	---M--	200	added ('OK')	image/jpeg	etag:%229cc3-550c991ad0c33%22	http://previews.aspirity.com/danny/media/portfolio-images/portfolio-4.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/portfolio-images/portfolio-4.jpg	(from http://previews.aspirity.com/danny/)
16:33:54	26757/26757	---M--	200	added ('OK')	image/jpeg	etag:%226885-550c991ad1bd1%22	http://previews.aspirity.com/danny/media/portfolio-images/portfolio-5.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/portfolio-images/portfolio-5.jpg	(from http://previews.aspirity.com/danny/)
16:33:55	32960/32960	---M--	200	added ('OK')	image/jpeg	etag:%2280c0-550c991ad4aab%22	http://previews.aspirity.com/danny/media/portfolio-images/portfolio-6.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/portfolio-images/portfolio-6.jpg	(from http://previews.aspirity.com/danny/)
16:33:55	30549/30549	---M--	200	added ('OK')	image/jpeg	etag:%227755-550c991ad5a49%22	http://previews.aspirity.com/danny/media/portfolio-images/portfolio-7.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/portfolio-images/portfolio-7.jpg	(from http://previews.aspirity.com/danny/)
16:33:56	39426/39426	---M--	200	added ('OK')	image/jpeg	etag:%229a02-550c991ad98c1%22	http://previews.aspirity.com/danny/media/portfolio-images/portfolio-8.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/portfolio-images/portfolio-8.jpg	(from http://previews.aspirity.com/danny/)
16:33:57	53240/53240	---M--	200	added ('OK')	image/jpeg	etag:%22cff8-550c991abc43d%22	http://previews.aspirity.com/danny/media/modal-images/modal-image-1.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/modal-images/modal-image-1.jpg	(from http://previews.aspirity.com/danny/)
16:33:57	85659/85659	---M-Z	200	added ('OK')	application/javascript	etag:%2214e9b-550c991a62775-gzip%22	http://previews.aspirity.com/danny/js/jquery-2.2.3.min.js	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/js/jquery-2.2.3.min.js	(from http://previews.aspirity.com/danny/)
16:33:58	37330/37330	---M-Z	200	added ('OK')	application/javascript	etag:%2291d2-550c991a60839-gzip%22	http://previews.aspirity.com/danny/js/bootstrap.min.js	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/js/bootstrap.min.js	(from http://previews.aspirity.com/danny/)
16:33:58	99595/99595	---M--	200	added ('OK')	image/jpeg	etag:%221850b-550c991abf317%22	http://previews.aspirity.com/danny/media/modal-images/modal-image-2.jpg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/media/modal-images/modal-image-2.jpg	(from http://previews.aspirity.com/danny/)
16:33:59	2719/2719	---M-Z	200	added ('OK')	application/javascript	etag:%22a9f-550c991a646b1-gzip%22	http://previews.aspirity.com/danny/js/jquery.placeholder.min.js	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/js/jquery.placeholder.min.js	(from http://previews.aspirity.com/danny/)
16:34:00	2233/2233	---M-Z	200	added ('OK')	application/javascript	etag:%228b9-550c991384850-gzip%22	http://previews.aspirity.com/danny/assets/switcher/js/dmss.js	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/assets/switcher/js/dmss.js	(from http://previews.aspirity.com/danny/)
16:34:01	87254/87254	---M-Z	200	added ('OK')	application/javascript	etag:%22154d6-550c9912bc6ca-gzip%22	http://previews.aspirity.com/danny/assets/mixitup-v3/dist/mixitup.min.js	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/assets/mixitup-v3/dist/mixitup.min.js	(from http://previews.aspirity.com/danny/)
16:34:01	5020/5020	---M-Z	200	added ('OK')	application/javascript	etag:%22139c-550c9912936de-gzip%22	http://previews.aspirity.com/danny/assets/custom-select/custom-select.js	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/assets/custom-select/custom-select.js	(from http://previews.aspirity.com/danny/)
16:34:02	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:%2220df-550c991a68529-gzip%22	http://previews.aspirity.com/danny/js/wow.min.js	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/js/wow.min.js	(from http://previews.aspirity.com/danny/)
16:34:02	3228/3228	---M-Z	200	added ('OK')	application/javascript	etag:%22c9c-550c991a665ed-gzip%22	http://previews.aspirity.com/danny/js/theme.js	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/js/theme.js	(from http://previews.aspirity.com/danny/)
16:34:03	29063/29063	---M-Z	200	added ('OK')	text/css	etag:%227187-550c9919f13dd-gzip%22	http://previews.aspirity.com/danny/css/font-awesome.min.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/css/font-awesome.min.css	(from http://previews.aspirity.com/danny/css/master.css)
16:34:03	72259/72259	---M-Z	200	added ('OK')	text/css	etag:%2211a43-550c9919e5875-gzip%22	http://previews.aspirity.com/danny/css/animate.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/css/animate.css	(from http://previews.aspirity.com/danny/css/master.css)
16:34:04	2388/2388	---M-Z	200	added ('OK')	text/css	etag:%22954-550c9919f90cd-gzip%22	http://previews.aspirity.com/danny/css/typography.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/css/typography.css	(from http://previews.aspirity.com/danny/css/master.css)
16:34:05	122231/122231	---M-Z	200	added ('OK')	text/css	etag:%221dd77-550c9919ed565-gzip%22	http://previews.aspirity.com/danny/css/bootstrap.min.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/css/bootstrap.min.css	(from http://previews.aspirity.com/danny/css/master.css)
16:34:05	14446/14446	---M-Z	200	added ('OK')	text/css	etag:%22386e-550c9919f812f-gzip%22	http://previews.aspirity.com/danny/css/theme.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/css/theme.css	(from http://previews.aspirity.com/danny/css/master.css)
16:34:06	1876/1876	---M-Z	200	added ('OK')	text/css	etag:%22754-550c9919f5255-gzip%22	http://previews.aspirity.com/danny/css/responsive.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/css/responsive.css	(from http://previews.aspirity.com/danny/css/master.css)
16:34:06	1743/1743	---M-Z	200	added ('OK')	text/css	etag:%226cf-550c9919e96ed-gzip%22	http://previews.aspirity.com/danny/css/color.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/css/color.css	(from http://previews.aspirity.com/danny/css/master.css)
16:34:07	0/0	---M--	200	added ('OK')	text/css	etag:%220-550c9919ec5c7%22	http://previews.aspirity.com/danny/css/custom.css	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/css/custom.css	(from http://previews.aspirity.com/danny/css/master.css)
16:34:07	294/294	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Aug%202017%2021:34:10%20GMT	http://previews.aspirity.com/danny/get	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/get	(from https://mc.yandex.ru/metrika/watch.js)
16:34:08	295/295	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Aug%202017%2021:34:11%20GMT	http://previews.aspirity.com/danny/path	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/path	(from https://mc.yandex.ru/metrika/watch.js)
16:34:09	308/308	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Aug%202017%2021:34:12%20GMT	http://previews.aspirity.com/danny/awaps.yandex.net/	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/awaps.yandex.net/index.html	(from https://mc.yandex.ru/metrika/watch.js)
16:34:11	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-550c991a34973%22	http://previews.aspirity.com/danny/fonts/fontawesome-webfont.eot?v=4.6.3	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/fontawesome-webfont5b62.eot	(from http://previews.aspirity.com/danny/css/font-awesome.min.css)
16:34:12	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-550c991a34973%22	http://previews.aspirity.com/danny/fonts/fontawesome-webfont.eot?	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/fontawesome-webfontd41d.eot	(from http://previews.aspirity.com/danny/css/font-awesome.min.css)
16:34:12	71896/71896	---M--	200	added ('OK')	text/html	etag:%22118d8-550c991a50e59%22	http://previews.aspirity.com/danny/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/fontawesome-webfont5b62.html	(from http://previews.aspirity.com/danny/css/font-awesome.min.css)
16:34:12	90412/90412	---M--	200	added ('OK')	application/font-woff	etag:%221612c-550c991a4ef1d%22	http://previews.aspirity.com/danny/fonts/fontawesome-webfont.woff?v=4.6.3	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/fontawesome-webfont5b62.woff	(from http://previews.aspirity.com/danny/css/font-awesome.min.css)
16:34:13	329/329	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Aug%202017%2021:34:16%20GMT	http://previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.eot	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.eot	(from http://previews.aspirity.com/danny/css/bootstrap.min.css)
16:34:13	329/329	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Aug%202017%2021:34:16%20GMT	http://previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.eot?	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/glyphicons-halflings-regulard41d.eot	(from http://previews.aspirity.com/danny/css/bootstrap.min.css)
16:34:14	152796/152796	---M--	200	added ('OK')	application/font-sfnt	etag:%22254dc-550c991a49169%22	http://previews.aspirity.com/danny/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/fontawesome-webfont5b62.ttf	(from http://previews.aspirity.com/danny/css/font-awesome.min.css)
16:34:14	331/331	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Aug%202017%2021:34:17%20GMT	http://previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.woff2	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.woff2	(from http://previews.aspirity.com/danny/css/bootstrap.min.css)
16:34:14	330/330	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Aug%202017%2021:34:17%20GMT	http://previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.woff	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.woff	(from http://previews.aspirity.com/danny/css/bootstrap.min.css)
16:34:15	329/329	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Aug%202017%2021:34:18%20GMT	http://previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.ttf	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.ttf	(from http://previews.aspirity.com/danny/css/bootstrap.min.css)
16:34:15	329/329	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Aug%202017%2021:34:18%20GMT	http://previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.svg	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/glyphicons-halflings-regular.svg	(from http://previews.aspirity.com/danny/css/bootstrap.min.css)
16:34:20	392306/392306	---M--	200	added ('OK')	image/svg+xml	etag:%225fc72-550c991a481cb%22	http://previews.aspirity.com/danny/fonts/fontawesome-webfont.svg?v=4.6.3	C:/Users/Usuario/Documents/TemplatesHtrack/kanjicode/previews.aspirity.com/danny/fonts/fontawesome-webfont5b62.svg	(from http://previews.aspirity.com/danny/css/font-awesome.min.css)
